iter	RMSE
163	0.08101187318
164	0.08089062492
165	0.08053759443
166	0.0804616876
167	0.08016201927
168	0.07999036958
169	0.0798385666
170	0.07966331093
171	0.07955896463
172	0.07939436715
173	0.07931662929
174	0.07916015923
175	0.07893457247
176	0.0787677501
177	0.0784101295
178	0.0782350145
179	0.07816244962
180	0.07811844576
181	0.07803417551
182	0.07780651219
183	0.07774379053
184	0.07744652691
185	0.07728466917
186	0.07710074957
187	0.07703044675
188	0.07678901211
189	0.07666965041
190	0.07655026493
191	0.07627113365
192	0.07609697094
193	0.07593030496
194	0.07561837355
195	0.07537695344
196	0.07526809305
197	0.07523447041
198	0.07509347041
199	0.07481684676
200	0.07468945199
201	0.07464205925
202	0.07452325476
203	0.07449456489
204	0.0742249143
205	0.07416730576
206	0.07409121357
207	0.07402602806
208	0.07394227772
209	0.07374013919
210	0.07363569312
211	0.07335222375
212	0.07330518229
213	0.07295956321
214	0.07285371057
215	0.07274870159
216	0.0724702813
217	0.07227622365
218	0.0722298176
219	0.07210194761
220	0.07186847837
221	0.07178937989
222	0.07153981521
223	0.07150719786
224	0.07124000078
225	0.07116432784
226	0.07112830304
227	0.0710908522
228	0.07080456321
229	0.07057175829
230	0.07043063576
231	0.07030947985
232	0.07021984339
233	0.07010222516
234	0.06995509384
235	0.06971065805
236	0.06956154704
237	0.06945221046
238	0.06937864103
239	0.06931852285
240	0.06918728734
241	0.06914396632
242	0.06910806345
243	0.06903697775
244	0.06868191897
245	0.06849683421
246	0.06843917601
247	0.0682489889
248	0.06802918038
249	0.06783564241
250	0.06771493713
251	0.06765403077
252	0.06763411777
253	0.06752552732
254	0.06729673103
255	0.06716227429
256	0.06688197402
257	0.06666684384
258	0.06643886696
259	0.06619592897
260	0.06606147623
261	0.06590925597
262	0.06574483397
263	0.06562036164
264	0.06551403116
265	0.06532136708
266	0.06510881128
267	0.06488340294
268	0.06481847615
269	0.06473927277
270	0.06450028087
271	0.06436501913
272	0.06431595318
273	0.0641845799
274	0.06407875164
275	0.06395786703
276	0.06374882008
277	0.06362903315
278	0.06358882325
279	0.06342669253
280	0.06337587485
281	0.06333363849
282	0.06316841246
283	0.06302966474
284	0.06299841014
285	0.06285408826
286	0.06275702074
287	0.06261722923
288	0.06249252329
289	0.0624215938
290	0.06223460358
291	0.06206090607
292	0.06179230679
293	0.06167501887
294	0.06144824144
295	0.06136262059
296	0.06115594737
297	0.06107275742
298	0.06099905848
299	0.06096811843
300	0.0607826478
301	0.06063170517
302	0.06061587081
303	0.06048081265
304	0.06039699175
305	0.06032693722
306	0.06012617496
307	0.06000684353
308	0.05982996252
309	0.05971140187
310	0.05962318643
311	0.05951748805
312	0.05945341695
313	0.05935808503
314	0.05934217417
315	0.05922498408
316	0.05916383023
317	0.05908144723
318	0.05899546183
319	0.05894459245
320	0.05882604792
321	0.05869858748
322	0.05866407526
323	0.05860686625
324	0.0585080396
325	0.05834787115
326	0.05815318346
327	0.0578660292
328	0.05777329702
329	0.05772054522
330	0.05760290881
331	0.0575743468
332	0.05747087986
333	0.05737978564
334	0.05730371704
335	0.05719387741
336	0.05711250904
337	0.05701791001
338	0.05695627042
339	0.05690438787
340	0.056836039
341	0.05672570547
342	0.05668138684
343	0.05655174667
344	0.05649587252
345	0.05638335524
346	0.05625612338
347	0.05620857831
348	0.05618777241
349	0.05599689798
350	0.05593414682
351	0.05585917625
352	0.05573357199
353	0.05568574215
354	0.05550352966
355	0.05541245128
356	0.05532872656
357	0.05524979708
358	0.05510366731
359	0.05508035351
360	0.05483069409
361	0.05477232312
362	0.05458617647
363	0.05437578327
364	0.054268663
365	0.05413755813
366	0.05405630295
367	0.05385431768
368	0.05376113309
369	0.05363439577
370	0.05357663879
371	0.05347892719
372	0.05333875089
373	0.05322653344
374	0.05312804166
375	0.05309213123
376	0.0530217127
377	0.05295730157
378	0.05285140509
379	0.05268655729
380	0.05266766511
381	0.05248543182
382	0.05241859562
383	0.0523686143
384	0.05229087159
385	0.0522285008
386	0.05207718448
387	0.05191625185
388	0.05185893504
389	0.05171203997
390	0.05141856662
391	0.05136470455
392	0.05119060212
393	0.05105997901
394	0.05104001036
395	0.0509220768
396	0.05085758916
397	0.05080107631
398	0.05062962501
399	0.05057442577
400	0.05053347571
401	0.05051263965
402	0.05034650153
403	0.0502771195
404	0.0502040822
405	0.05015147433
406	0.0501079073
407	0.05009442223
408	0.05003268909
409	0.0500089104
410	0.0499405936
411	0.04991271561
412	0.04982891066
413	0.04973242085
414	0.04969723549
415	0.04964724204
416	0.04961373922
417	0.04949948986
418	0.04936254343
419	0.04920049858
420	0.04908064181
421	0.04894954384
422	0.04891376741
423	0.04886904211
424	0.04878398136
425	0.04855838842
426	0.04849774695
427	0.0484456036
428	0.048347573
429	0.04830672059
430	0.04821700442
431	0.04816818995
432	0.04809561619
433	0.04803104051
434	0.0478790641
435	0.04785659765
436	0.0477124261
437	0.0476710281
438	0.04761653142
439	0.04758432415
440	0.04755105945
441	0.04747037716
442	0.0473588498
443	0.047324217
444	0.04730377332
445	0.04713280144
446	0.04705125907
447	0.04697833303
448	0.04688751564
449	0.04678227636
450	0.04665892546
451	0.04656974095
452	0.04648681863
453	0.04639040424
454	0.04616985785
455	0.04612164423
456	0.04596286987
457	0.04592729386
458	0.04590056406
459	0.0458323582
460	0.04571802975
461	0.0456512507
462	0.04552378962
463	0.0454193745
464	0.0453242855
465	0.04524339654
466	0.04520503476
467	0.04514111939
468	0.04499115522
469	0.04490045389
470	0.04489863945
471	0.04476942614
472	0.04458532846
473	0.04453885764
474	0.04443750573
475	0.04437841733
476	0.04427414679
477	0.04422345782
478	0.04413613414
479	0.04407344044
480	0.04400665469
481	0.04395246816
482	0.04389489332
483	0.04382102124
484	0.04374831883
485	0.04373209467
486	0.04371392066
487	0.04365649184
488	0.04363687045
489	0.04358660584
490	0.04353877205
491	0.04343762489
492	0.04334934081
493	0.04330698005
494	0.04323738173
495	0.04316584569
496	0.04308218729
497	0.04301453581
498	0.04292277772
499	0.0428478853
