iter	RMSE
0	0.3235834794
1	0.2607762059
2	0.2203282749
3	0.1932742845
4	0.1794487521
5	0.1679885225
6	0.1608869521
7	0.1559022854
8	0.152403702
9	0.1503789026
10	0.1469839317
11	0.1443679725
12	0.1432000141
13	0.1420351733
14	0.1407584293
15	0.1398694668
16	0.1386162285
17	0.1379310802
18	0.1376188025
19	0.1366693006
20	0.1354931434
21	0.1353544312
22	0.1347415557
23	0.1341157652
24	0.1334813193
25	0.1331203721
26	0.1326814424
27	0.1320744497
28	0.1312966477
29	0.1297571235
30	0.1287808933
31	0.1281781625
32	0.1271794684
33	0.1265556995
34	0.12623091
35	0.1255699289
36	0.1249131677
37	0.1236172965
38	0.1230580237
39	0.1223822948
40	0.1215857146
41	0.1211436386
42	0.1205643135
43	0.1198853623
44	0.1196139666
45	0.1190697003
46	0.1179080991
47	0.1169604892
48	0.1158615116
49	0.1155484656
50	0.1149893898
51	0.1142181179
52	0.1139240191
53	0.1133937351
54	0.1127737112
55	0.1117256112
56	0.111194155
57	0.1103764062
58	0.109730979
59	0.1093099947
60	0.1089696611
61	0.1086473483
62	0.1084478707
63	0.1081568587
64	0.1078020242
65	0.1073279552
66	0.1070576229
67	0.1061877319
68	0.1053908753
69	0.1052139367
70	0.104646726
71	0.1042922286
72	0.1038627018
73	0.1032660912
74	0.1027916478
75	0.1025486657
76	0.1022579184
77	0.1017220975
78	0.1013016809
79	0.10094877
80	0.1007591964
81	0.1002340331
82	0.09996362786
83	0.09965260986
84	0.09919609547
85	0.09883111792
86	0.09871841197
87	0.09830990955
88	0.09775823816
89	0.09732642571
90	0.09715753734
91	0.09661185585
92	0.09642445553
93	0.09616653168
94	0.09593768972
95	0.09569036097
96	0.09535283388
97	0.09506770746
98	0.09475032282
99	0.09456947854
100	0.09446219051
101	0.09421971984
102	0.09387123894
103	0.09360570079
104	0.09323605681
105	0.0928125558
106	0.09268002731
107	0.09253023036
108	0.09240681949
109	0.09221945794
110	0.09191442718
111	0.09172291721
112	0.09139988569
113	0.09123891419
114	0.09105984672
115	0.0908725342
116	0.09065899413
117	0.09052016409
118	0.09027486726
119	0.09014628801
120	0.0897543243
121	0.0896172875
122	0.08953345159
123	0.08929349008
124	0.08910934768
125	0.08893592138
126	0.0886749429
127	0.0882387155
128	0.08811729133
129	0.08802722624
130	0.08781783215
131	0.08754225807
132	0.08723137711
133	0.08711537321
134	0.08684113625
135	0.08677369352
136	0.08662301553
137	0.08650382718
138	0.08637831217
139	0.08616371269
140	0.08606999399
141	0.08591694158
142	0.08578741852
143	0.08567211501
144	0.08542532073
145	0.08507789804
146	0.08485825495
147	0.08463475636
148	0.08450300766
149	0.0841162156
150	0.08374550867
151	0.08337028876
152	0.08310417075
153	0.0829176185
154	0.08269713378
155	0.08243654541
156	0.08215809183
157	0.08199079146
158	0.0819184694
159	0.08182740461
160	0.08148814536
161	0.08136688908
162	0.08120102793
